Time,X(CH1),X(CH2),
Second,Volt,Volt,
-5.0600009e+00,3.99998e-03,-4.00007e-03,
-5.0400009e+00,3.99998e-03,-5.96046e-08,
-5.0200009e+00,-4.00001e-03,-4.00007e-03,
-5.0000010e+00,-4.00001e-03,-5.96046e-08,
-4.9800010e+00,3.99998e-03,-4.00007e-03,
-4.9600010e+00,-0.00000e+00,-4.00007e-03,
-4.9400010e+00,-4.00001e-03,-5.96046e-08,
-4.9200010e+00,3.99998e-03,-4.00007e-03,
-4.9000010e+00,-0.00000e+00,3.99995e-03,
-4.8800011e+00,-0.00000e+00,-5.96046e-08,
-4.8600011e+00,-4.00001e-03,-4.00007e-03,
-4.8400011e+00,-4.00001e-03,-4.00007e-03,
-4.8200011e+00,3.99998e-03,-5.96046e-08,
-4.8000011e+00,-0.00000e+00,-5.96046e-08,
-4.7800012e+00,3.99998e-03,-4.00007e-03,
-4.7600012e+00,-0.00000e+00,-4.00007e-03,
-4.7400012e+00,-4.00001e-03,-5.96046e-08,
-4.7200012e+00,-0.00000e+00,-4.00007e-03,
-4.7000012e+00,-4.00001e-03,-5.96046e-08,
-4.6800013e+00,-4.00001e-03,-4.00007e-03,
-4.6600013e+00,7.99999e-03,-5.96046e-08,
-4.6400013e+00,-4.00001e-03,-4.00007e-03,
-4.6200013e+00,-0.00000e+00,3.99995e-03,
-4.6000013e+00,-4.00001e-03,-4.00007e-03,
-4.5800014e+00,3.99998e-03,3.99995e-03,
-4.5600014e+00,-0.00000e+00,-5.96046e-08,
-4.5400014e+00,-0.00000e+00,-4.00007e-03,
-4.5200014e+00,-0.00000e+00,-4.00007e-03,
-4.5000014e+00,-4.00001e-03,-5.96046e-08,
-4.4800014e+00,-4.00001e-03,-5.96046e-08,
-4.4600015e+00,3.99998e-03,-4.00007e-03,
-4.4400015e+00,-4.00001e-03,-4.00007e-03,
-4.4200015e+00,3.99998e-03,3.99995e-03,
-4.4000015e+00,-0.00000e+00,-5.96046e-08,
-4.3800015e+00,-4.00001e-03,-4.00007e-03,
-4.3600016e+00,3.99998e-03,-5.96046e-08,
-4.3400016e+00,-4.00001e-03,-4.00007e-03,
-4.3200016e+00,-4.00001e-03,-5.96046e-08,
-4.3000016e+00,3.99998e-03,-4.00007e-03,
-4.2800016e+00,-4.00001e-03,-5.96046e-08,
-4.2600017e+00,3.99998e-03,-4.00007e-03,
-4.2400017e+00,3.99998e-03,-4.00007e-03,
-4.2200017e+00,-4.00001e-03,-5.96046e-08,
-4.2000017e+00,-0.00000e+00,-4.00007e-03,
-4.1800017e+00,-4.00001e-03,3.99995e-03,
-4.1600018e+00,2.80000e-02,-4.00007e-03,
-4.1400018e+00,-4.00001e-03,1.99999e-02,
-4.1200018e+00,-4.00001e-03,-5.96046e-08,
-4.1000018e+00,3.99998e-03,-4.00007e-03,
